"","proteinId","dsmoduleColors","MEblue","MEbrown","MEgrey","MEturquoise","ecNum","definition","pathway","gotermID","gotermType","goAcc","kogID","kogdefine","kogClass","iprId","iprDesc","...15","Feature","Record.Id","Function","GeneID","condition","expression"
"1",100862,"blue",0.899054151841573,-0.408717581751671,-0.422374754750004,-0.875924597354881,NA,NA,NA,"2175, 3827, 5939","nucleic acid binding, intracellular, zinc ion binding","GO:0003676, GO:0005622, GO:0008270","KOG1721","FOG: Zn-finger","General function prediction only",NA,NA,4896,"RDEBS05642","RDEBS05642","Transcriptional regulatory protein","jgi.p|Debsub1|100862","cont",1035.58140985838
"2",100864,"blue",0.931768668317638,-0.343209943089283,-0.413863065392967,-0.917893520424428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4910,"RDEBS05560","RDEBS05560","Hyothetical protein","jgi.p|Debsub1|100864","cont",233.773991078697
"3",100868,"blue",0.927867579772076,-0.3321351097432,-0.498599233179194,-0.82247392074376,NA,NA,NA,"3727, 5939","protein binding, zinc ion binding","GO:0005515, GO:0008270","KOG1940","Zn-finger protein","General function prediction only",NA,NA,4827,"RDEBS05454","RDEBS05454","Hypothetical protein","jgi.p|Debsub1|100868","cont",257.026821452421
"4",100873,"blue",0.920681201263414,-0.620945587066718,-0.531093918813409,-0.778965040154936,"3.1.3.16","Serine/threonine specific protein phosphatase.","\N","9988, 3087, 3089, 3090, 4132, 6080, 6240, 10186, 10187, 10190","phosphoric monoester hydrolase activity, phosphoprotein phosphatase activity, calcium-dependent protein serine/threonine phosphatase activity, magnesium-dependent protein serine/threonine phosphatase activity, magnesium-dependent protein serine/threonine phosphatase complex, CTD phosphatase activity, calcium-dependent protein serine/threonine phosphatase regulator activity, myosin phosphatase activity, myosin phosphatase regulator activity, myosin phosphatase complex","GO:0016791, GO:0004721, GO:0004723, GO:0004724, GO:0005963, GO:0008420, GO:0008597, GO:0017018, GO:0017020, GO:0017023","KOG1605","TFIIF-interacting CTD phosphatase, including NLI-interacting factor (involved in RNA polymerase II regulation)","Transcription",NA,NA,4816,"RDEBS05518","RDEBS05518","Nuclear LIM interactor-interacting factor 1","jgi.p|Debsub1|100873","cont",613.293401106989
"5",101038,"turquoise",0.82102899912492,-0.160834012795719,-0.220819503255789,-0.886795676397994,NA,NA,NA,"2196, 3838, 4504, 5939, 2176, 4499","transcription factor activity, nucleus, regulation of transcription, DNA-dependent, zinc ion binding, DNA binding, transcription","GO:0003700, GO:0005634, GO:0006355, GO:0008270, GO:0003677, GO:0006350",NA,NA,NA,NA,NA,4623,"RDEBS06568","RDEBS06568","Transcriptional regulator","jgi.p|Debsub1|101038","cont",764.021569422383
"6",101247,"turquoise",-0.638157129907201,-0.0772625572764565,0.104220061094326,0.913670594719823,"3.6.3.44","Xenobiotic-transporting ATPase.","\N","3736, 10082, 162, 10269, 4927, 9321, 18135, 6209","ATP binding, ATPase activity, nucleotide binding, nucleoside-triphosphatase activity, transport, integral to membrane, ATPase activity, coupled to transmembrane movement of substances, xenobiotic-transporting ATPase activity","GO:0005524, GO:0016887, GO:0000166, GO:0017111, GO:0006810, GO:0016021, GO:0042626, GO:0008559","KOG0057","Mitochondrial Fe/S cluster exporter, ABC superfamily","Intracellular trafficking, secretion, and vesicular transport",NA,NA,4632,"RDEBS07125","RDEBS07125","Mitochondrial ATP-binding cassette domain protein","jgi.p|Debsub1|101247","cont",1707.4221160135
"7",101282,"blue",0.904997309187429,-0.397773421320032,-0.492746487816081,-0.860850850872671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4525,"RDEBS07318","RDEBS07318","Hypothetical protein","jgi.p|Debsub1|101282","cont",330.937603711761
"8",101285,"turquoise",0.770831476526474,0.0738469421090037,-0.019189868394106,-0.913739865294363,NA,NA,NA,"2196, 3838, 4504, 5939, 2176, 4499","transcription factor activity, nucleus, regulation of transcription, DNA-dependent, zinc ion binding, DNA binding, transcription","GO:0003700, GO:0005634, GO:0006355, GO:0008270, GO:0003677, GO:0006350",NA,NA,NA,NA,NA,4504,"RDEBS07472","RDEBS07472","Cutinase transcription factor 1 alpha","jgi.p|Debsub1|101285","cont",708.380868170971
"9",101287,"blue",0.938513252465565,-0.384858069253295,-0.392598602726789,-0.854738210271514,NA,NA,NA,"4758, 5830","lipid metabolic process, metabolic process","GO:0006629, GO:0008152","KOG2214","Predicted esterase of the alpha-beta hydrolase superfamily","General function prediction only",NA,NA,4487,"RDEBS07545","RDEBS07545","Hypothetical protein","jgi.p|Debsub1|101287","cont",546.441513782531
"10",101290,"blue",0.881911852543354,-0.301494765664712,-0.153413480302935,-0.680041427349962,NA,NA,NA,"3827, 4541","intracellular, RNA processing","GO:0005622, GO:0006396","KOG1258","mRNA processing protein","RNA processing and modification",NA,NA,4465,"RDEBS07722","RDEBS07722","Pre-mRNA processing protein PRP39","jgi.p|Debsub1|101290","cont",268.653236639284
